player_id,player_name,team,position,height,points_per_game,assists_per_game
109,Bobbie Mainston,Celtics,Small Forward,84.6,16.3,19.2
110,Barrie Vila,Celtics,Point Guard,73.9,39.7,0.1
111,Gayler Quiddihy,Bulls,Small Forward,84.0,12.1,5.7
112,Giorgi Aubray,Celtics,Small Forward,60.7,12.8,19.8
113,Tami Gurner,Bulls,Shooting Guard,67.8,12.0,3.3
114,Madelyn Redpath,Rockets,Center,61.9,0.5,4.1
115,Georgette Ausiello,Celtics,Small Forward,60.7,17.4,7.4
116,Pattie Truggian,Lakers,Power Forward,62.2,36.1,14.9
117,Kalil de Villier,Rockets,Point Guard,79.5,29.7,14.9
118,Kristi Dumsday,Warriors,Point Guard,64.6,5.3,13.4
119,Bess Mapston,Warriors,Center,62.5,1.0,1.2
120,Pacorro Belton,Lakers,Point Guard,88.3,0.1,10.2
121,Nil Frusher,Warriors,Center,63.6,13.1,4.3
122,Ivor Seebert,Warriors,Small Forward,85.9,36.4,2.1
123,Aldwin Abrahams,Rockets,Shooting Guard,66.0,21.1,7.9
124,Beatrice Lapenna,Bulls,Point Guard,72.8,15.2,12.2
125,Tades Dreger,Rockets,Shooting Guard,74.4,34.4,12.6
126,Gannie Slatten,Rockets,Point Guard,60.6,30.1,9.0
127,Ingrid Linwood,Warriors,Power Forward,73.1,13.9,5.0
128,Bernarr Speaks,Lakers,Small Forward,86.1,30.3,4.8
129,Candice Degg,Warriors,Small Forward,85.9,9.1,13.0
130,Aubree Norcop,Warriors,Power Forward,69.4,39.5,12.9
131,Martie Bolwell,Rockets,Shooting Guard,65.6,5.5,17.1
132,Catlaina Gladtbach,Bulls,Power Forward,63.7,1.5,5.8
133,Binny FitzGilbert,Lakers,Power Forward,71.0,23.5,3.6
134,Rebecca Grigg,Bulls,Small Forward,81.6,34.8,15.8
135,Jeniece Moodie,Bulls,Point Guard,64.1,7.4,6.1
136,Tybie Southouse,Bulls,Center,76.6,26.9,15.8
137,Marni Brocklebank,Rockets,Shooting Guard,82.2,30.7,9.3
138,Allen Bauchop,Warriors,Power Forward,71.2,26.7,10.8
139,Heloise Kenwell,Lakers,Point Guard,70.0,19.2,11.4
140,Grant Manhood,Warriors,Shooting Guard,89.0,30.6,19.6
141,Mano Pack,Lakers,Small Forward,85.7,25.6,6.3
142,Hyacintha Hymer,Celtics,Shooting Guard,61.7,11.7,12.6
143,Fanni Langsdon,Rockets,Small Forward,80.0,5.0,17.1
144,Nels Mouan,Celtics,Power Forward,78.0,15.1,14.3
145,Julian Shuker,Celtics,Point Guard,83.5,17.2,3.3
146,Rollo Folonin,Rockets,Center,87.3,2.2,11.5
147,Sibylle Cheeseman,Celtics,Shooting Guard,87.1,2.9,8.5
148,Elvera Manuaud,Lakers,Power Forward,60.1,8.1,14.0
149,Madalena Zuenelli,Lakers,Point Guard,87.1,6.2,4.1
150,Cosme Conaghy,Bulls,Center,67.1,30.1,1.6
151,May Stonman,Warriors,Small Forward,64.9,37.0,10.7
152,Cayla Helis,Warriors,Center,66.5,3.6,17.3
153,Bendix Uden,Warriors,Shooting Guard,83.7,11.4,0.5
154,Sabra Tills,Warriors,Point Guard,80.8,30.3,10.9
155,Bride McGonagle,Warriors,Small Forward,60.7,17.6,8.9
156,Winifield O'Neal,Warriors,Center,71.7,8.3,16.1
157,Brynn Dimitrescu,Celtics,Center,81.9,23.0,13.5
158,Fannie Simmers,Bulls,Shooting Guard,86.6,24.0,10.0
159,Reynard Toppas,Bulls,Power Forward,82.0,34.7,6.7
160,Latisha Yurikov,Bulls,Center,66.8,11.6,6.7
161,Clarine Fowley,Rockets,Small Forward,86.9,4.0,1.7
162,Marcello Crennell,Bulls,Point Guard,70.8,10.0,10.7
163,Charla Ochterlonie,Bulls,Shooting Guard,70.7,21.1,10.3
164,Frazier Faulconbridge,Rockets,Small Forward,67.1,3.0,1.4
165,Abner Rogeron,Bulls,Shooting Guard,84.3,23.2,8.1
166,Silvie Hollingshead,Rockets,Center,85.8,31.6,19.5
167,Paten Sievewright,Lakers,Point Guard,69.3,0.8,8.9
168,Anestassia Tasseler,Celtics,Small Forward,87.0,37.2,14.2
169,Glenna McCaighey,Lakers,Center,66.9,29.1,1.2
170,Karee Sarson,Rockets,Small Forward,86.7,23.7,6.1
171,Nathanial Raigatt,Rockets,Center,63.7,21.9,18.2
172,Sharona Mattheus,Celtics,Power Forward,71.5,6.0,14.1
173,Tanitansy Buntain,Celtics,Center,77.8,3.9,1.3
174,Aleece Minget,Lakers,Center,69.7,37.0,8.4
175,Tilda Tofful,Celtics,Power Forward,81.8,24.2,19.2
176,Bibi MacGinney,Lakers,Point Guard,86.7,26.3,4.4
177,Federica Castletine,Bulls,Power Forward,75.3,9.4,9.1
178,Roxana Skeels,Rockets,Shooting Guard,63.5,29.8,9.7
179,Silvan Acreman,Lakers,Small Forward,78.5,15.9,17.6
180,Betsey Hasley,Rockets,Power Forward,65.8,39.2,18.7
181,Scarlet Andrini,Warriors,Small Forward,84.9,31.3,18.9
182,Candi Undy,Bulls,Small Forward,74.2,20.4,13.6
183,North Keegan,Lakers,Point Guard,63.7,11.1,14.2
184,Gusti Joiner,Rockets,Small Forward,64.5,5.9,1.3
185,Trace Threlfall,Celtics,Shooting Guard,74.5,36.2,5.4
186,Cathlene Dotson,Lakers,Point Guard,81.5,5.1,13.5
187,Farah Kinzett,Lakers,Shooting Guard,79.9,10.9,3.1
188,Elvis Ettels,Rockets,Point Guard,84.1,35.0,16.7
189,Christen McConigal,Bulls,Center,61.7,24.3,17.4
190,Nollie Robe,Warriors,Center,85.7,32.0,3.0
191,Benn Kersaw,Warriors,Shooting Guard,70.3,13.4,17.8
192,Dev Sworne,Lakers,Point Guard,79.5,31.2,17.1
193,Elisha Andreuzzi,Warriors,Shooting Guard,75.0,19.8,5.5
194,Babb Kolis,Celtics,Small Forward,75.9,32.6,14.0
195,Bathsheba Trimnell,Celtics,Small Forward,79.2,7.3,14.4
196,Sayre Waller-Bridge,Warriors,Power Forward,81.9,35.4,4.2
197,Aretha Grigorkin,Celtics,Point Guard,60.0,33.0,17.1
198,Nertie Puckham,Lakers,Power Forward,66.3,29.4,7.8
199,Tiff Blanko,Celtics,Small Forward,68.1,15.3,5.2
200,Friederike Collyear,Lakers,Point Guard,84.7,11.7,13.4
